CC(C)C[CH](NC(=O)[CH](COC(C)(C)C)NC(=O)[CH](CC1=CC=C(O)C=C1)NC(=O)[CH](CO)NC(=O)[CH](CC1=CNC2=CC=CC=C12)NC(=O)[CH](CC1=CN=CN1)NC(=O)[CH]1CCC(=O)N1)C(=O)N[CH](CCCN=C(N)N)C(=O)N1CCC[CH]1C(=O)NNC(N)=O -2
[H][C]1(NC(=O)[CH](CCCCN)NC(=O)[CH](CC2=CNC3=C2C=CC=C3)NC(=O)[CH](CC2=CC=CC=C2)NC(=O)[CH](CSSC[CH](NC1=O)C(=O)N[CH](CO)[CH](C)O)NC(=O)[CH](N)CC1=CC=CC=C1)[CH](C)O 1
CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O -1.2
NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)N[CH](CCC(O)=O)C(O)=O)N2)N1 -2.7
N[CH](CC1=CN=CN1)C(O)=O -3.32
CC(=O)C(O)=O -0.5
N[CH](CC1=CC=CC=C1)C(O)=O -1.38
[H][C]12CS[CH](CCCCC(O)=O)[C]1([H])NC(=O)N2 0.5
NCCCC[CH](N)C(O)=O -3.05
N[CH](CCCNC(N)=N)C(O)=O -4.20
[H][C]1(OC(=O)C(O)=C1O)[CH](O)CO -1.85
NCCCNCCCCNCCCN -0.7
N[CH](CC(O)=O)C(O)=O -3.89
NCCC[CH](N)C(O)=O -4.22
N[CH](CCC(N)=O)C(O)=O -3.64
NC1=C2N=CN([CH]3O[CH](COP(O)(O)=O)[CH](O)[CH]3O)C2=NC=N1 -3.1
CCC=CgCC=CCC=CCCCCCCCC(O)=O 6.46
N[CH](CO)C(O)=O -3.07
CSCC[CH](N)C(O)=O -1.87
N[CH](CC1=CC=C(O)C=C1)C(O)=O -2.26
C[CH](CCCC(C)(C)O)[C]1([H])CC[C]2([H])C(CCC[C]12C)=CC=C1C[CH](O)C[CH](O)C1=C 5
CC(C=CC=C(gC)C=C[CH]1C(C)=C[CH](O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C[CH](O)CC1(C)C 7.9
N[CH](CSSC[CH](N)C(O)=O)C(O)=O -5.08
OC(=O)CCC(O)=O -0.59
CC1=C(C)C=C2N(C[CH](O)[CH](O)[CH](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1 -1.46
[H]C(=O)[CH](NC(C)=O)[CH](O)[CH](O)[CH](O)CO -2.1
N[CH](CCC(O)=O)C(O)=O -3.69
N[CH](CCC(=O)N[CH](CS)C(=O)NCC(O)=O)C(O)=O -6.4
CCCC(=O)O[CH](COC(=O)CC)COP(O)(=O)OC[CH](N)C(O)=O -3.5
NCC(O)=O -3.21
C[CH](CCCC(C)(C)O)[C]1([H])CC[C]2([H])C(CCC[C]12C)=CC=C1C[CH](O)CCC1=C 6
CC1=NC=C(CO)C(C=O)=C1O 0
CN(CC(O)=O)C(N)=N -0.2
CC(C)C[CH](N)C(O)=O -1.52
N[CH](CC1=CNC2=CC=CC=C12)C(O)=O -1.06
N[CH](CS)C(O)=O -2.49
CC(C)[CH](C)C=C[CH](C)[C]1([H])CC[C]2([H])C(CCC[C]12C)=CC=C1C[CH](O)CCC1=C 7.3
CCCCCC=CgCC=CCC=CCCCCCCC(O)=O 6.8
N[CH](CCCNC(N)=O)C(O)=O -3.19
C[CH](O)[CH](N)C(O)=O -2.94
